1670218675 1 0 0
1670394443 1 1 0
1670410005 1 2 0
1670582573 1 3 0
1670841753 1 4 0
1671014160 1 5 0
1671102173 1 6 0
1671102300 2 6 0
1671158723 3 6 0
1671161696 3 7 0
1671161769 3 8 0
1671162012 4 8 0
1671168771 4 9 0
1671169179 5 9 0
1671176812 5 10 0
1671186091 5 11 0
1671186583 6 11 0
1671422302 7 11 0
1671519291 7 12 0
1671519508 8 12 0
1671520531 8 13 0
1671521414 9 13 0
1671534790 9 14 0
1671605699 10 14 0
1671615029 11 14 0
1671621448 11 15 0
1671704844 11 16 0
1671784719 11 17 0
1671787357 12 17 0
1671791884 12 18 0
1672136911 12 19 0
1673347869 12 20 0
1673434499 12 21 0
1673434900 13 21 0
1673489149 14 21 0
1673492290 15 21 0
1673517387 15 22 0
1673517435 16 22 0
1673519043 16 23 0
1673519236 17 23 0
1673575920 18 23 0
1673575966 19 23 0
1673575972 20 23 0
1673592322 21 23 0
1673600852 21 24 0
1673601866 22 24 0
1673607416 22 25 0
1673607481 23 25 0
1674897318 23 26 0
1674898142 24 26 0
1674900326 25 26 0
1674900817 25 27 0
1674901873 25 28 0
1674986732 25 29 0
1675072668 25 30 0
1675162665 25 31 0
1675162879 26 31 0
1675221100 27 31 0
1675233019 27 32 0
1675233378 28 32 0
1675234730 29 32 0
1697167780 29 32 1
1697167877 30 32 1
1697181539 30 32 2
1697181687 31 32 2
1697191824 31 32 3
1697442549 32 32 3
1697446775 32 32 4
1697446969 33 32 4
1698291800 34 32 4
1698291809 35 32 4
