1647852575 1 0 0 0 0
1647859928 1 1 0 0 0
1647947304 1 2 0 0 0
1647947407 1 3 0 0 0
1647947423 1 4 0 0 0
1647947516 2 4 0 0 0
1648034491 2 5 0 0 0
1648034626 3 5 0 0 0
1648118775 3 6 0 0 0
1648205889 3 7 0 0 0
1648466756 3 8 0 0 0
1648553528 3 9 0 0 0
1648690702 3 10 0 0 0
1648728699 3 11 0 0 0
1648864082 3 12 0 0 0
1648899821 3 13 0 0 0
1649227247 4 13 0 0 0
1649238074 4 13 0 1 0
1649238628 4 14 0 1 0
1649238708 5 14 0 1 0
1649240795 5 14 0 2 0
1649241931 5 14 0 3 0
1649242053 6 14 0 3 0
1649310156 6 14 0 4 0
1649327624 6 14 0 5 0
1649327858 7 14 0 5 0
1649328283 7 15 0 5 0
1649328381 8 15 0 5 0
1649406779 8 15 0 6 0
1649415422 9 15 0 6 0
1649416142 9 16 0 6 0
1649499780 9 17 0 6 0
1649641388 10 17 0 6 0
1649641395 11 17 0 6 0
1649676120 11 18 0 6 0
1649730220 12 18 0 6 0
1649760933 12 19 0 6 0
1649761195 13 19 0 6 0
1649908080 13 20 0 6 0
1649908140 14 20 0 6 0
1649924324 15 20 0 6 0
1649936463 15 21 0 6 0
1649989283 15 22 0 6 0
1649991043 16 22 0 6 0
1649991297 17 22 0 6 0
1649994124 17 23 0 6 0
1649994185 18 23 0 6 0
1649995186 19 23 0 6 0
1650110325 19 24 0 6 0
1650248040 20 24 0 6 0
1650250519 21 24 0 6 0
1650251217 21 25 0 6 0
1650251279 22 25 0 6 0
1650254093 22 26 0 6 0
1650263060 23 26 0 6 0
1650271232 23 27 0 6 0
1650271320 23 28 0 6 0
1650281330 23 29 0 6 0
1650333164 24 29 0 6 0
1650334492 25 29 0 6 0
1650346301 25 30 0 6 0
1650346413 25 31 0 6 0
1650346849 26 31 0 6 0
1650347128 27 31 0 6 0
1650425377 27 32 0 6 0
1650425928 27 33 0 6 0
1650425981 28 33 0 6 0
1650433217 29 33 0 6 0
1650445972 29 34 0 6 0
1650446164 30 34 0 6 0
1650446663 31 34 0 6 0
1650541095 31 35 0 6 0
1650598130 32 35 0 6 0
1650598138 33 35 0 6 0
1650624679 33 36 0 6 0
1650852006 34 36 0 6 0
1651715047 34 37 0 6 0
1651717018 34 38 0 6 0
1651717533 34 39 0 6 0
1651720036 35 39 0 6 0
1651721268 36 39 0 6 0
1651802054 36 40 0 6 0
1651802145 36 41 0 6 0
1651804480 37 41 0 6 0
1651920464 37 42 0 6 0
1652266628 37 43 0 6 0
1652345008 37 44 0 6 0
1652346410 38 44 0 6 0
1652346418 39 44 0 6 0
1652421057 39 45 0 6 0
1652421230 39 46 0 6 0
1652421960 40 46 0 6 0
1652772287 40 47 0 6 0
1652772346 41 47 0 6 0
1652785162 41 48 0 6 0
1652843150 41 49 0 6 0
1652843202 42 49 0 6 0
1652871279 42 50 0 6 0
1652927746 42 51 0 6 0
1652927800 43 51 0 6 0
1652929338 43 52 0 6 0
1652929429 44 52 0 6 0
1652954015 44 53 0 6 0
1652955888 45 53 0 6 0
